Plot (1mx1m),Species,% Cover,Notes
HY1,Bare ground,0,
HY1,CWD,4,
HY1,Leaf material,9,
HY1,SIDULM,7,
HY1,DICPOR spp. PAT,1,
HY1,DRYCOR var. COR,1,
HY2,Bare ground,1,Pinecone - 1
HY2,CWD,1 (pine cone),SABPAL on the edge
HY2,Leaf material,9,SABPAL on the edge
HY2,SERREP,1,SABPAL on the edge
HY2,SMI sp.,2,SABPAL on the edge
HY3,Bare ground,2,
HY3,CWD,3,
HY3,Leaf material,9,
HY4,Bare ground,0,
HY4,CWD,1,
HY4,Leaf material,10,
HY5,Bare ground,1,
HY5,CWD,1,
HY5,Leaf material,9,
HY6,Bare ground,0,
HY6,CWD,5,
HY6,Leaf material,10,
HY6,QURVIR,6,
HY7,Bare ground,2,
HY7,CWD,0,
HY7,Leaf material,9,
HY7,PINELL,1,
HY8,Bare ground,9,
HY8,CWD,0,
HY8,Leaf material,5,
HY8,URELOB,1,
HY8,SABPAL,4,
HY9,Bare ground,8,
HY9,CWD,5,
HY9,Leaf material,6,
HY9,SERREP,8,
HY10,Bare ground,0,QUEVIR in plot
HY10,CWD,6,QUEVIR in plot
HY10,Leaf material,9,QUEVIR in plot
HY10,QUEVIR,2,QUEVIR in plot
HY10,SABPAL,5,QUEVIR in plot
HY11,Bare ground,0,
HY11,CWD,8,
HY11,Leaf material,10,
HY11,SMIAUR,2,
HY12,Bare ground,0,
HY12,CWD,3,
HY12,Leaf material,9,
HY12,Unknown Palm Species,1,
HY12,DICPOR SPP. PAT,1,
HY12,PASCON,1,
HY12,DICLAX,3,
HY13,Bare ground,8,
HY13,CWD,6,
HY13,Leaf material,7,
HY13,DICCOM spp. JOO,6,
HY13,DRYCOR var. COR,7,
HY13,EREHIE,2,
HY13,PASCON,6,
HY13,CYPESC,2,
HY13,PASNOT,3,
HY14,,,
HY15,,,
CD1,Bare ground,0,TAXASC in plot
CD1,CWD,5,TAXASC in plot
CD1,Leaf material,8,TAXASC in plot
CD1,EUPLEP,5,TAXASC in plot
CD1,CARVER,6,TAXASC in plot
CD1,DICERE,6,TAXASC in plot
CD1,HYPALA var. ALA ,3,TAXASC in plot
CD2,Bare ground,0,
CD2,CWD,7,
CD2,Leaf material,7,
CD2,DICERE,9,
CD2,EREHIE,3,
CD2,HYPALA car. ALA,2,
CD3,Bare ground,0,
CD3,CWD,2,
CD3,Leaf material,9,
CD3,DICERE,9,
CD3,EUPLEP,1,
CD3,EREHIE,1,
CD4,Bare ground,0,
CD4,CWD,4,
CD4,Leaf material,10,
CD4,DICERE,6,
CD4,RHYINU,5,
CD4,ANDHIR,5,
CD4,EUPLEP,1,
CD5,Bare ground,0,TAXASC in plot
CD5,CWD,5,TAXASC in plot
CD5,Leaf material,10,TAXASC in plot
CD5,PLUBAC,2,TAXASC in plot
CD5,ERICOM,5,TAXASC in plot
CD5,ELEVIV,7,TAXASC in plot
CD5,DICPOR spp. POR,2,TAXASC in plot
CD5,DICERE,6,TAXASC in plot
CD5,RHEMAR var. MAR,2,TAXASC in plot
CD5,DICPOR SPP. PAT,1,TAXASC in plot
CD6,,,
CD7,,,
CD8,,,
CD9,,,
CD10,,,
MF1,Bare ground,0,
MF1,CWD,8,
MF1,Leaf material,9,
MF1,QUEMYR,8,
MF1,QUEGEM,4,
MF1,GAYDUM,6,
MF1,ARIBEY,6,
MF1,OPUAUS,1,
MF2,Bare ground,6,
MF2,CWD,2,
MF2,Leaf material,8,
MF2,ARIBEY,9,
MF2,LYOLUC,8,
MF2,ANDVIR var HIR,4,
MF2,ARIRHI,5,
MF2,ANDVIR var smooth,5,
MF2,ANDTER,5,
MF2,ELEELA,3,
MF2,DICPOR var POR,1,
MF2,DICWEB,1,
MF2,GAYDUM,2,
MF2,SOLVIR,2,
MF3,Bare ground,3,
MF3,CWD,2,
MF3,Leaf material,8,
MF3,SERREP,9,
MF3,HYPCIS,4,
MF3,DICPOR var POR,1,
MF3,DICSTR var GLA,6,
MF3,ANDDEC,5,
MF3,ANDVIR var wet,5,
MF3,ANDSUV,3,
MF3,ARITEN,1,
MF4,Bare ground,3,
MF4,CWD,0,
MF4,Leaf material,9,
MF4,SERREP,9,
MF4,ARIBEY,8,
MF4,ANDCAM,3,
MF4,PTEPYC,2,
MF4,TEPHIS,5,
MF4,PITTRA,2,
MF4,DICPOR var POR,5,
MF4,DICCHA,1,
MF4,QUEMIN,4,
MF4,ARISPI,2,
MF4,HYPMYR,1,
MF4,RHYPUS,3,
MF4,ELEBAL,3,
MF5,Bare ground,0,
MF5,CWD,0,
MF5,Leaf material,10,
MF5,SERREP,8,
MF5,ARIBEY,8,
MF5,HYPCIS,6,
MF5,ANDVIR var Smooth,7,
MF5,OCLRET,3,
MF5,SOLVIR,2,
MF5,DICPOR var POR,3,
MF5,VACMYR,3,
MF5,RHYFAS,3,
MF5,ANDCAB,3,
MF5,STISYL,3,
MF5,PITTRA,1,
MF5,RHENUT,1,
MF5,LYOLUC,5,
MF6,Bare ground,6,
MF6,CWD,6,
MF6,Leaf material,8,
MF6,SERREP,6,
MF6,VACMYR,7,
MF6,QUEMIN,5,
MF6,ARIBEY,6,
MF6,DICTEN,4,
MF6,DICWEB,4,
MF6,TEPHIS,5,
MF6,DICCHA,2,
MF6,CARCOR,4,
MF6,UN6 AND,3,
MF7,Bare ground,1,
MF7,CWD,2,
MF7,Leaf material,8,
MF7,ARIBEY,7,
MF7,LYOLUC,7,
MF7,QUEMIN,6,
MF7,SORSEC,5,
MF7,VACMYR,2,
MF7,XYRCAR,1,
MF7,SOPHIS,1,
MF7,SERREP,5,
MF7,ELEELA,5,
MF7,DICPOR var POR,6,
MF7,DICTEN,2,
MF7,HOUPRO,1,
MF7,AXOFRO,1,
MF7,PITTRA,2,
MF8,Bare ground,1,
MF8,CWD,4,
MF8,Leaf material,9,
MF8,QUEMIN,9,
MF8,TEPHIS,3,
MF8,ARIBEY,4,
MF8,STISYL,2,
MF8,DICPOR var POR,5,
MF8,DICTEN,1,
MF8,DICWEB,1,
MF8,DICSTR var GLA,1,
MF8,SOPHIS,2,
MF9,Bare ground,0,
MF9,CWD,0,
MF9,Leaf material,10,
MF9,QUEMIN,9,
MF9,LYOFRU,6,
MF9,ARIBEY,9,
MF9,GAYDUM,7,
MF9,LECTOR,1,
MF9,TEPHIS,1,
MF9,GALREG,1,
MF9,ANDCAM,4,
MF9,ANDCAB,4,
MF9,DICPOR var POR,5,
MF9,SOPHIS,1,
MF10,Bare ground,7,
MF10,CWD,0,
MF10,Leaf material,6,
MF10,SERREP,7,
MF10,ILEGLA,6,
MF10,PTEPYC,2,
MF10,BULSTE,5,
MF10,ARIBEY,8,
MF10,ARIRHI,5,
MF10,DICPOR (unknown DIC 2. MB INAT),3,
MF10,DICWEB,4,
MF10,DICTEN,4,
MF10,PITTRA,1,
MF10,Unknown grass 1 MF (RB INAT) ,1,
MF10,RHENUT,1,
MF11,Bare ground,1,
MF11,CWD,5,
MF11,Leaf material,7,
MF11,SERREP,7,
MF11,ARIBEY,9,
MF11,SOLVIR,5,
MF11,ANDCAP,1,
MF11,ANDCAM,3,
MF11,OCLRET,1,
MF11,HOUPRO,3,
MF11,RHUCOP,4,
MF11,DICSTR var GLA,5,
MF11,PITTRA,2,
MF11,DICPOR var POR,5,
MF12,SERREP,7,
MF12,ILEGLA,6,
MF12,MORPUM,7,
MF12,VACMYR,6,
MF12,ARIBEY,6,
MF12,UN 4 ARI,6,
MF12,DICTEN,6,
MF12,DICWEB,6,
MF12,DICPORPOR,5,
MF12,HYPMYR,4,
MF12,OCLRET,4,
MF12,LYOLUC,4,
MF12,SOLFIS,5,
MF12,ERIVER,4,
MF12,HYPTEN,4,
MF13,Bare ground,4,
MF13,CWD,3,
MF13,Leaf material,9,
MF13,QUEMYR,8,
MF13,LYOFRU,6,
MF13,QUEMIN,7,
MF13,ARIBEY,7,
MF13,UN3,5,VERY LONG/ 2FT
MF13,SERREP,5,
MF13,DICWEB,5,
MF13,UN 4 ARI,5, =UN4 MF12
MF14,Bare ground,9,
MF14,CWD,4,
MF14,Leaf material,2,
MF14,SYNFLA,5,
MF14,ILEGLA,3,
MF14,ARIBEY,8,
MF14,STISYL,4,
MF14,PITTRA,7,
MF14,ANDVIR,2,
MF14,HOUPRO,1,
MF14,RHENUT,3,
MF14,XYRCAR,2,
MF14,CYPESC,1,
MF14,POLSET,1,
MF14,ERIVIR,2,
MF14,DICSTR VAR GLA,4,
MF14,DICTEN,2,
MF14,EUPREC,1,
MF15,Bare ground,8,
MF15,CWD,0,
MF15,Leaf material,6,
MF15,ARIBEY,6,
MF15,VACMYR,6,
MF15,MIMQUA,4,
MF15,ARITEN,5,
MF15,TEPHIS,3,
MF15,GEOOBL,8,
MF15,QUEMIN,5,
MF15,SERREP,5,
MF15,GAYDUM,5,
MF15,CROROT,6,
MF15,PITTRA,4,
MF15,XYRCAR,4,
MF15,DICPOR POR,1,
MF15,ANDGYR,4,
MF15,LIASPI,3,
MF15,ANDCAB,1,
MF15,RHYFAS,1,
MF16,Bare ground,0,
MF16,CWD,0,
MF16,Leaf material,9,
MF16,SERREP,6,
MF16,LYOFRU,7,
MF16,ARIBEY,7,
MF16,HYPMYR,2,
MF16,VACMYR,4,
MF16,ANDCAB,8,
MF16,ANDVIR var smooth,3,
MF16,DICSTR var GLA,1,
MF16,DICPOR var POR,1,
MF17,Bare ground,9,
MF17,CWD,6,
MF17,Leaf material,7,
MF17,SERREP,7,
MF17,HYPMYR,3,
MF17,ARIBEY,6,
MF17,SYNFLA,4,
MF17,ANDCAM,5,
MF17,LACCAR,2,
MF17,DICSTR var GLA,3,
MF17,DICPOR var POR,2,
MF18,Bare ground,0,
MF18,CWD,3,
MF18,Leaf material,10,
MF18,SERREP,6,
MF18,PTEPYC,4,
MF18,QUEMIN,2,
MF18,ASIRET,2,
MF18,CNISTI,1,
MF18,DICTEN,1,
MF18,ARIBEY,3,
MF19,Bare ground,6,
MF19,CWD,3,
MF19,Leaf material,8,
MF19,SERREP,9,
MF19,OCLRET,2,
MF19,VACMYR,2,
MF19,DICCHA,1,
MF19,RHENUT,1,
MF20,Bare ground,0,
MF20,CWD,6,
MF20,Leaf material,9,
MF20,LYOLUC,9,
MF20,ARIBEY,8,
MF20,EUPPOL,3,
MF20,DICPOR var POR,1,
MF20,LECTOR,1,
MF20,ANDSUB,3,
DP1,Bare ground,8,
DP1,CWD,0,
DP1,Leaf material,1,
DP1,SERREP,7,
DP1,QUEMIN,6,
DP1,ARIBEY,5,
DP1,STISYL,2,
DP1,SYNFLA,5,
DP1,ERIVER,5,
DP1,SOPHIS,4,
DP1,PITTRA,4,
DP1,FUISCI,5,
DP1,PTEPYC,2,
DP1,ANDVIR var smooth,3,
DP1,ARISPI var SPI,4,
DP1,DICWEB,4,
DP1,HYPJUN,1,
DP1,DICSTR var GLA,3,
DP1,DICCHA,2,
DP2,Bare ground,8,
DP2,CWD,2,
DP2,Leaf material,3,
DP2,ASIRET,1,
DP2,ARIBEY,5,
DP2,QUEMIN,5,
DP2,QUEPUM,4,
DP2,PTEPYC,4,
DP2,MIMFLO,5,
DP2,PITTRA,4,
DP2,ANDVIR var HIR,3,
DP2,RHYFAS,5,
DP2,SOPHIS,3,
DP2,DICWEB,5,
DP2,DICSTR var GLA,4,
DP2,DICTEN,3,
DP2,VACMYR,1,
DP2,HYPJUN,3,
DP3,Bare ground,7,
DP3,CWD,0,
DP3,Leaf material,7,
DP3,SERREP,8,
DP3,ARIBEY,7,
DP3,QUEPUM,8,
DP3,LYOFRU,7,
DP3,VACMYR,6,
DP3,MIMFLO,4,
DP3,PITTRA,4,
DP3,ANDCAM,2,
DP3,DICTEN,2,
DP3,DICCHA,3,
DP3,RHYFAS,4,
DP3,HYPTET,1,
DP3,LIAQUA,1,
DP4,,,
DP5,,,
WP1,Bare ground,0,
WP1,CWD,0,
WP1,Leaf material,10,
WP1,ARIBEY,7,
WP1,HYPFAS,2,
WP1,RHYPUS,3,
WP1,LUDLIN,2,
WP1,ERIDEC,3,
WP1,ERICOM,3,
WP1,FUIBRE,1,
WP1,SABGRA,1,
WP1,XYRELL,4,
WP1,DROCAP,2,
WP1,FIMCAS,1,
WP1,TIEFIL,3,
WP1,DICTEN,3,
WP1,SOLVIR,2,
WP1,XYRSMA,4,
WP2,,,
WP3,,,
WP4,,,
WP5,,,
WP6,,,
WP7,,,
WP8,,,
WP9,,,
WP10,,,
WP11,,,
WP12,Bare ground,0,
WP12,CWD,0,
WP12,Leaf material,10,
WP12,LIARES,5,
WP12,PANREP,4,
WP12,DICERE,7,
WP12,XYRCAR,3,
WP12,CYPPOL,3,
WP12,ERIDEC,3,
WP12,DICPOR,2,
WP12,LACANC,3,
WP12,ELEBAL,6,
WP12,FIMAUT,1,
WP12,SCLMUE,3,
WP12,STISYL,1,
WP12,SOLVIR,2,
WP12,VIOPRI,3,
WP12,AXOFUR,2,
WP12,FUIBRE,1,
WP12,XYRSMA,2,
WP12,RHYFAS,2,
WP12,HYPMYR,1,
WP12,DIOHAR,1,
WP12,HYPALA,1,
WP13,Bare ground,0,
WP13,CWD,0,
WP13,Leaf material,10,
WP13,ARIBEY,8,
WP13,SCLMUE,5,
WP13,XYRELL,6,
WP13,RHYFAS,4,
WP13,ANDDEA,3,
WP13,EUPREC,1,
WP13,RHEMAR,1,
WP13,DICPOR,1,
WP13,SYNFLA,1,
WP13,FUISCI,1,
WP13,RHYPUS,1,
WP14,Bare ground,0,
WP14,CWD,0,
WP14,Leaf material,10,
WP14,QUEMIN,7,
WP14,FUISCI,2,
WP14,SYNFLA,2,
WP14,ARIBEY,4,
WP14,LACCAR,1,
WP14,SPABAK,3,
WP14,ARISPI,3,
WP14,EUTCAR,2,
WP14,LITCAR,1,
WP14,DICTEN,1,
WP14,DICPOR,2,
WP14,HYPTET,1,
WP14,LACANC,3,
WP14,RHYFAS,3,
WP14,EUPREC,1,
