Plot (1mx1m),Species,% Cover,Notes
HY1,Bare ground,0,SABPAL in plot
HY1,CWD,2,
HY1,Leaf material,10,
HY1,DICPOR spp. PAT,1,
HY1,DRYCOR var. COR,2,
HY1,SIDULM,1,
HY1,PARQUI,2,
HY1,TOXRAD,1,
HY2,Bare ground,1,COMPLETELY BURNED
HY2,CWD,0,
HY2,Leaf material,10,
HY2,ZEPSIM,1,
HY3,Bare ground,1,
HY3,CWD,4,
HY3,Leaf material,10,
HY3,SIDULM,2,
HY4,Bare ground,6,
HY4,CWD,0,
HY4,Leaf material,8,
HY5,Bare ground,3,
HY5,CWD,1,
HY5,Leaf material,9,
HY6,Bare ground,0,Cow patty in plot
HY6,CWD,3,Cow patty in plot
HY6,Leaf material,10,Cow patty in plot
HY7,Bare ground,4,SERREP in plot
HY7,CWD,2,SERREP in plot
HY7,Leaf material,9,SERREP in plot
HY7,URELOB,1,SERREP in plot
HY8,Bare ground,7,
HY8,CWD,0,
HY8,Leaf material,7,
HY9,Bare ground,5,SERREP in plot
HY9,CWD,6,
HY9,Leaf material,5,
HY9,NA,NA,
HY10,Bare ground,1,
HY10,CWD,7,
HY10,Leaf material,9,
HY10,SABPAL,7,
HY10,SIDULM,2,
HY10,PASNOT ,6,
HY10,DICPOR spp. PAT,4,
HY10,CYPESC,1,
HY11,Bare ground,0,
HY11,CWD,7,
HY11,Leaf material,10,
HY11,SMIAUR,1,
HY11,VITROT,1,
HY12,Bare ground,7,
HY12,CWD,1,
HY12,Leaf material,6,
HY12,PASCON,3,
HY12,DOCCAR*,2,
HY12,DICPOR SPP. PAT,3,
HY12,FIMCAS,5,
HY12,ERIQVE,2,
HY12,RHENVT,2,
HY12,Unknown palm,1,
HY13,Bare ground,7,
HY13,CWD,5,
HY13,Leaf material,9,
HY13,DICCOM spp. JOO,1,
HY14,,,
HY15,,,
CD1,Bare ground,0,
CD1,CWD,4,
CD1,Leaf material,9,
CD1,CLAJAM,5,
CD1,DICERE,7,
CD1,MAGVIR,1,
CD1,CARVER,5,
CD2,Bare ground,0,TAXASC partially in plot 
CD2,CWD,6,TAXASC partially in plot 
CD2,Leaf material,8,TAXASC partially in plot 
CD2,DICERE,9,TAXASC partially in plot 
CD3,Bare ground,1,TAXASC in middle of plot
CD3,CWD,0,TAXASC in middle of plot
CD3,Leaf material,9,TAXASC in middle of plot
CD3,DICERE,7,TAXASC in middle of plot
CD3,CARVER,5,TAXASC in middle of plot
CD3,EUPLEP,1,TAXASC in middle of plot
CD3,DICPOR SPP. POR,4,TAXASC in middle of plot
CD3,RHYDIS,3,TAXASC in middle of plot
CD4,Bare ground,1,TAXASC in plot
CD4,CWD,0,TAXASC in plot
CD4,Leaf material,10,TAXASC in plot
CD4,DICERE,9,TAXASC in plot
CD4,EUPLEP,2,TAXASC in plot
CD4,LYGJAP,1,TAXASC in plot
CD4,DICPOR SPP. POR,1,TAXASC in plot
CD4,CAEAER,3,TAXASC in plot
CD5,Bare ground,0,
CD5,CWD,0,
CD5,Leaf material,10,
CD5,ANDHIR,2,
CD5,DICPOR spp. POR,6,
CD5,DICPOR spp. PAT,5,
CD5,CARVER,6,
CD5,RHEMAR var. MAR,3,
CD5,GRARAM,4,
CD5,ERICOM,8,
CD5,ELEVIV,6,
CD5,PLUBAC,1,
CD5,RHYINU,2,
CD5,RHENUT,2,
CD5,XYRSMA,2,
CD5,SABPAL,1,
CD6,,,
CD7,,,
CD8,,,
CD9,,,
CD10,,,
MF1,Bare ground,0,SERREP in plot
MF1,CWD,8,SERREP in plot
MF1,Leaf material,9,SERREP in plot
MF1,VACMYR,2,SERREP in plot
MF1,SERREP,4,SERREP in plot
MF1,ANDVIR var. DEC,4,SERREP in plot
MF1,ARIBEY,2,SERREP in plot
MF1,LYOFRU,5,SERREP in plot
MF1,QUEMYR,4,SERREP in plot
MF2,Bare ground,7,
MF2,CWD,6,
MF2,Leaf material,5,
MF2,VACMYR,5,
MF2,SERREP,5,
MF2,LYOLUC,5,
MF2,ARIBEY,9,
MF2,ANDTER,2,
MF2,ANDVIR var. DEC,3,
MF2,ELEELA,2,
MF2,DICPOR var POR,5,
MF2,PITTRA,4,
MF2,SISNAS,1,
MF2,ANDVIR car Smooth,2,
MF2,DICLEU,2,
MF2,SYMDUM var DUM,1,
MF3,Bare ground,1,
MF3,CWD,6,
MF3,Leaf material,9,
MF3,SERREP,7,
MF3,ANDSUV,5,
MF3,ILEGLA,6,
MF3,RHENUT,1,
MF3,HYPMYR,1,
MF3,DICSTR var GLA,6,
MF3,DICPOR var POR,4,
MF3,POLRUG,2,
MF3,ARIBEY,5,
MF3,ANDVIR var smooth,4,
MF3,LECTOR,1,
MF4,Bare ground,0,
MF4,CWD,1,
MF4,Leaf material,10,
MF4,SERREP,7,
MF4,ARIBEY,9,
MF4,TEPHIS,5,
MF4,QUEMIN,5,
MF4,PITTRA,2,
MF4,EUTCAR,2,
MF4,ANDCAM,1,
MF4,ARIRHI,3,
MF4,RHYRAR,1,
MF4,RHYFAS,3,
MF4,DICWEB,3,
MF4,SYNFLA,2,
MF4,DICPOR var POR,3,
MF4,EUPRAC,1,
MF4,RHENUT,2,
MF5,Bare ground,0,
MF5,CWD,0,
MF5,Leaf material,10,
MF5,SERREP,9,
MF5,ARIBEY,8,
MF5,ILEGLA,5,
MF5,OCLRUT,4,
MF5,MORPUM,5,
MF5,DICPOR var POR,2,
MF5,DICCHA,1,
MF5,VACMYR,2,
MF5,SORSEC,5,
MF5,ANDVIR var smooth ,6,
MF5,DICWEB,1,
MF5,RHYFAS,3,
MF5,HYPCIS,3,
MF6,Bare ground,0,
MF6,CWD,4,
MF6,Leaf material,9,
MF6,QUEMIN,9,
MF6,VACMYR,6,
MF6,SERREP,7,
MF6,ARIBEY,7,
MF6,TEPHIS,5,
MF6,DICWEB,5,
MF6,DICTEN,1,
MF6,GAYDUM,5,
MF6,UN7,2,
MF6,UN8 AND,1,
MF6,ARITEN,2,
MF7,Bare ground,4,
MF7,CWD,4,
MF7,Leaf material,9,
MF7,SERREP,8,
MF7,QUEMIN,7,
MF7,VACMYR,5,
MF7,LYOFRU,6,
MF7,DICPOR VAR POR,6,
MF7,RHYFAS,1,
MF7,ARIBEY,1,
MF7,ASCPED,1,
MF7,HYPTET,1,
MF7,HOUPRO,2,
MF7,LECTOR,2,
MF8,Bare ground,2,SERREP in plot
MF8,CWD,0,SERREP in plot
MF8,Leaf material,9,SERREP in plot
MF8,SERREP,9,SERREP in plot
MF8,TEPHIS,5,SERREP in plot
MF8,SMIAUR,4,SERREP in plot
MF8,VACMYR,5,SERREP in plot
MF8,PITTRA,1,SERREP in plot
MF8,ANDCAM,6,SERREP in plot
MF8,DICTEN,5,SERREP in plot
MF8,DICWEB,4,SERREP in plot
MF8,DICPOR var POR,6,SERREP in plot
MF8,ASIRET,1,SERREP in plot
MF8,HYPTET,1,SERREP in plot
MF8,PTEPYC,1,SERREP in plot
MF9,Bare ground,1,
MF9,CWD,3,
MF9,Leaf material,9,
MF9,SERREP,8,
MF9,ARIBEY,9,
MF9,MORPUM,8,
MF9,LYOFRU,5,
MF9,QUEMIN,3,
MF9,DICPOR var POR,5,
MF9,DICWEB,2,
MF9,ANDCAB,1,
MF9,SOPHIS,1,
MF10,Bare ground,7,
MF10,CWD,0,
MF10,Leaf material,6,
MF10,SERREP,7,
MF10,VANMYR,7,
MF10,ILEGLA,6,
MF10,ARIBEY,8,
MF10,PITTRA,2,
MF10,POLRUG,1,
MF10,DICTEN,4,
MF10,HYPTEN,3,
MF10,ARIRHI,5,
MF10,Unknown DIC 1 MF (MB INAT),2,
MF10,BULSTE,4,
MF10,DICWEB,4,
MF10,DICPOR,2,
MF10,RHYPLU,5,
MF11,Bare ground,2,
MF11,CWD,4,
MF11,Leaf material,6,
MF11,SERREP,9,
MF11,ARIBEY,9,
MF11,LYOLUC,5,
MF11,QUEMIN,6,
MF11,OCLRET,5,
MF11,VACMYR,4,
MF11,PTEPYC,1,
MF11,OCLRET,2,
MF11,HOUPRO,2,
MF11,DICSTR var GLA,4,
MF11,DICTEN,2,
MF11,DICPOR var POR,5,
MF11,ASIRET,2,
MF11,HYPTET,1,
MF11,EUTCAR,1,
MF12,Bare ground,1,
MF12,CWD,0,
MF12,Leaf material,7,
MF12,ILEGLA,9,
MF12,ARIBEY,9,
MF12,DICPORPOR,6,
MF12,DICWEB,5,
MF12,DICTEN,5,
MF12,ELEELA,2,
MF12,OCLRET,5,
MF12,ERIVER,4,
MF12,SYNFLA,1,
MF13,Bare ground,8,
MF13,CWD,6,
MF13,Leaf material,7,
MF13,ILEGLA,7,
MF13,SERREP,7,
MF13,LYOFRU,6,
MF13,UN 2,6,
MF13,ARIBEY,6,
MF13,UN 4 ARI,3,
MF13,DICWEB,5,
MF13,QUEMIN,6,
MF14,Bare ground,9,
MF14,CWD,0,
MF14,Leaf material,3,
MF14,ARIBEY,8,
MF14,ILEGLA,5,
MF14,PITTRA,6,
MF14,RHENUT,3,
MF14,SYNFLA,3,
MF14,ANDVIR,3,
MF14,CYPESC,1,
MF14,POLSET,4,
MF14,FIMPUB,1,
MF14,ERIVER,5,
MF14,CARCOR,5,
MF14,DICPOR POR,1,
MF14,LUDMAR,1,
MF14,DICSTR VSR GLA,1,
MF14,DICCHA,1,
MF14,SOLVIR,2,
MF15,Bare ground,6,
MF15,CWD,1,
MF15,Leaf material,8,
MF15,ARIBEY,4,
MF15,QUEMIN,8,
MF15,SERREP,4,
MF15,LYOLUC,3,
MF15,MIMQUA,4,
MF15,ASIRET,1,
MF15,GAYDUM,4,
MF15,HYPTEN,1,
MF15,LIATEN,1,
MF15,ANDCAB,1,
MF15,PITTRA,1,
MF15,ARITEN,3,
MF15,ANDVIR,3,
MF15,XYRCAR,1,
MF16,Bare ground,1,
MF16,CWD,6,
MF16,Leaf material,8,
MF16,SERREP,6,
MF16,LYOFRU,7,
MF16,ARIBEY,7,
MF16,SOLFIS,2,
MF16,ANDSUB,1,
MF16,ELEELA,2,
MF16,DICTEN,3,
MF16,DICLEU,2,
MF16,OCLRET,1,
MF17,Bare ground,4,
MF17,CWD,4,
MF17,Leaf material,9,
MF17,SERREP,6,
MF17,ILEGLA,7,
MF17,ARIBEY,7,
MF17,LITCAR,6,
MF17,SYNFLA,5,
MF17,DICSTR VAR.GLA,5,
MF17,DICPOR SPP. POR,3,
MF17,DICLEU,1,
MF17,RHENYT,1,
MF17,SOLVIR,1,
MF17,RHYFAS,2,
MF18,Bare ground,0,
MF18,CWD,6,
MF18,Leaf material,9,
MF18,SERREP,9,
MF18,ASIRET,5,
MF18,SMIAUR,4,
MF18,ANDCAB,5,
MF18,DICCHA,2,
MF19,Bare ground,6,SERREP & ILEGLA in plot
MF19,CWD,7,SERREP & ILEGLA in plot
MF19,Leaf material,9,SERREP & ILEGLA in plot
MF19,SERREP,7,SERREP & ILEGLA in plot
MF19,ILEGLA,6,SERREP & ILEGLA in plot
MF19,VACDAR,3,SERREP & ILEGLA in plot
MF19,TEPHIS,4,SERREP & ILEGLA in plot
MF19,SYNFLA,2,SERREP & ILEGLA in plot
MF19,DICCHA,2,SERREP & ILEGLA in plot
MF19,DICTEN,1,SERREP & ILEGLA in plot
MF19,VIOPRI,1,SERREP & ILEGLA in plot
MF20,Bare ground,1,SERREP & LYOLUC in plot
MF20,CWD,2,SERREP & LYOLUC in plot
MF20,Leaf material,8,SERREP & LYOLUC in plot
MF20,SERREP,8,SERREP & LYOLUC in plot
MF20,LYOLUC,7,SERREP & LYOLUC in plot
MF20,ARIBEY,7,SERREP & LYOLUC in plot
MF20,TEPHIS,1,SERREP & LYOLUC in plot
MF20,DICPOR var POR,3,SERREP & LYOLUC in plot
DP1,Bare ground,8,
DP1,CWD,0,
DP1,Leaf material,1,
DP1,SERREP,5,
DP1,ARIBEY,5,
DP1,ANDVIR smooth,7,
DP1,HYPJUN,3,
DP1,SYNFLA,5,
DP1,EUPREC,5,
DP1,PITTRA,4,
DP1,SOPHIS,3,
DP1,LUDMYR,1,
DP1,FUISCI,4,
DP1,ARISPI var SPI,4,
DP1,ARIRHI,3,
DP1,DICSTR var GLA,3,
DP1,DICPOR var POR,4,
DP1,DICCHA,4,
DP1,DICWEB,5,
DP1,QUEMIN,5,
DP1,LIAQUA,1,
DP1,XYRELL,2,
DP2,Bare ground,8,
DP2,CWD,0,
DP2,Leaf material,1,
DP2,SERREP,5,
DP2,ARIBEY,6,
DP2,QUEMIN,5,
DP2,XYRCAR,1,
DP2,XYRELL,3,
DP2,SYNFLA,5,
DP2,PITTRA,5,
DP2,MIMFLO,4,
DP2,PTEPYC,4,
DP2,LYNFRU,1,
DP2,FUISCI,5,
DP2,RHYFAS,4,
DP2,SOPHIS,1,
DP2,DICWEB,3,
DP2,DICPOR var POR,3,
DP2,DICCHA,5,
DP2,ELEBAL,4,
DP3,Bare ground,8,
DP3,CWD,3,
DP3,Leaf material,6,
DP3,SERREP,8,
DP3,QUEPUM,7,
DP3,VACMYR,5,
DP3,ARIBEY,8,
DP3,MIMFLO,4,
DP3,LIAQUA,1,
DP3,PTEPYC,1,
DP3,PITTRA,3,
DP3,ARIRHI,4,
DP3,ELEELA,1,
DP3,DICPOR var POR,5,
DP3,DICTEN,2,
DP3,DICWEB,2,
DP3,POLNAN,1,
DP4,,,
DP5,,,
WP1,Bare ground,0,
WP1,CWD,0,
WP1,Leaf material,10,
WP1,ARIBEY,8,
WP1,HYPFAS,3,
WP1,ERIDEC,4,
WP1,XYRELL,3,
WP1,FUIBRE,1,
WP1,XYRSMA,2,
WP1,DICTEN,3,
WP1,RHYPUS,3,
WP1,DROCAP,2,
WP1,HYPTET,1,
WP1,EUPREC,1,
WP1,SOLVIR,1,
WP1,LUDLIN,1,
WP1,SABGRA,1,
WP1,FIMCAS,2,
WP1,LINCUR,1,
WP1,SPABAK,1,
WP1,DICPOR,2,
WP2,,,
WP3,,,
WP4,,,
WP5,,,
WP6,,,
WP7,,,
WP8,,,
WP9,,,
WP10,,,
WP11,,,
WP12,Bare ground,0,
WP12,CWD,0,
WP12,Leaf material,10,
WP12,DICERE,7,
WP12,DICPOR,4,
WP12,ELEBAL,7,
WP12,XYRCAR,3,
WP12,ERIDEC,2,
WP12,LIARES,4,
WP12,DIOHAR,1,
WP12,HYPMYR,1,
WP12,VIOPRI,2,
WP12,LACANC,1,
WP12,RHYFAS,2,
WP12,SOLVIR,1,
WP12,ANDDEA,3,
WP12,RHEMAR,1,
WP12,TIEFIL,1,
WP12,EUTCAR,1,
WP12,RHYPUS,1,
WP13,Bare ground,0,
WP13,CWD,0,
WP13,Leaf material,10,
WP13,ARIBEY,8,
WP13,XYRELL,5,
WP13,ANDDEA,3,
WP13,RHYFAS,5,
WP13,SCLPAU,1,
WP13,SYNFLA,2,
WP13,SCLMUE,1,
WP13,DICPOR,1,
WP13,RHEMAR,1,
WP13,RHENUT,1,
WP13,HYPMYR,1,
WP13,XYRFLA,1,
WP13,TIEFIL,1,
WP14,Bare ground,0,
WP14,CWD,0,
WP14,Leaf material,10,
WP14,QUEMIN,6,
WP14,ARIBEY,7,
WP14,ANDCAP,2,
WP14,EURREC,1,
WP14,STISYL,2,
WP14,FUISCI,4,
WP14,RHYFAS,4,
WP14,SYNFLA,5,
WP14,ERIDEC,2,
WP14,XYRFLA,1,
WP14,RHYFAS,3,
WP14,DICPOR,3,
WP14,HYPTET,1,
WP14,ARISPI,3,
WP14,SOLVIR,1,
WP15,Bare ground,1,
WP15,CWD,0,
WP15,Leaf material,10,
WP15,ARIBEY,6,
WP15,CTEARO,7,
WP15,ELEBAL,6,
WP15,SYNFLA,3,
WP15,XYRELL,5,
WP15,ANDDEA,1,
WP15,ANDCAP,1,
WP15,FUISCI,3,
WP15,LIARES,2,
WP15,SCLPAU,1,
WP15,CHATOM,4,
WP15,XYRSMA,1,
WP15,SOLVIR,1,
WP15,ERIDEC,4,
WP15,SCLMUE,1,
WP15,JUNBIF,1,
WP15,RHYPUS,2,
WP15,DICPOR,3,
WP15,DROCAP,1,
WP15,VIOVIT,2,
WP15,RHEMAR,2,
WP15,LINCUR,1,
WP15,RHENUT,1,
WP15,XYRCAR,1,
WP16,,,
WP17,,,
WP18,,,
WP19,,,
WP20,,,
SF1,Bare ground,3,"QUEMYR, LYOFER IN PLOT"
SF1,CWD,2,
SF1,Leaf material,10,
SF1,SERREP,6,
SF1,QUEMYR,7,
SF1,GAYDUM,6,
SF1,QUECHA,6,
SF1,LYOFER,3,
SF1,QUEMIN,4,
SF2,Bare ground,1,LYOLUC in plot
SF2,CWD,6,LYOLUC in plot
SF2,Leaf material,9,LYOLUC in plot
SF2,ARIBEY,6,LYOLUC in plot
SF2,QUEMIN,1,LYOLUC in plot
SF2,ARIGYR,3,LYOLUC in plot
SF2,ARITEN,3,LYOLUC in plot
SF2,EUPPOL,2,LYOLUC in plot
SF2,LYOLUC,2,LYOLUC in plot
SF2,DICWEB,1,LYOLUC in plot
SF3,Bare ground,0,LYOFRU in plot
SF3,CWD,3,LYOFRU in plot
SF3,Leaf material,9,LYOFRU in plot
SF3,QUEMYR,6,LYOFRU in plot
SF3,QUECHA,3,LYOFRU in plot
